통계년월,행정동,연령,인구수_계,인구수_남,인구수_여,총인구수,고령인구수,고령인구비율,복지시설_수,국내노인여가시설_수,복지시설밀도,노인여가시설밀도,is_elderly,연도,월
2023-01-01,강남동,0세 ~ 9세,2304,1172,1132,51261,6196,0.1208716177991065,0.0,0.0,0.0,0.0,0,2023,1
2023-01-01,강남동,10세 ~ 19세,2233,1196,1037,51261,6196,0.1208716177991065,0.0,0.0,0.0,0.0,0,2023,1
2023-01-01,강남동,20세 ~ 29세,3017,1556,1461,51261,6196,0.1208716177991065,0.0,0.0,0.0,0.0,0,2023,1
2023-01-01,강남동,30세 ~ 39세,3702,1819,1883,51261,6196,0.1208716177991065,0.0,0.0,0.0,0.0,0,2023,1
2023-01-01,강남동,40세 ~ 49세,3959,1918,2041,51261,6196,0.1208716177991065,0.0,0.0,0.0,0.0,0,2023,1
2023-01-01,강남동,50세 ~ 59세,4215,2001,2214,51261,6196,0.1208716177991065,0.0,0.0,0.0,0.0,0,2023,1
2023-01-01,강남동,60세 ~ 69세,3640,1696,1944,51261,6196,0.1208716177991065,0.0,0.0,0.0,0.0,1,2023,1
2023-01-01,강남동,70세 ~ 79세,1617,774,843,51261,6196,0.1208716177991065,0.0,0.0,0.0,0.0,1,2023,1
2023-01-01,강남동,80세 ~ 89세,817,322,495,51261,6196,0.1208716177991065,0.0,0.0,0.0,0.0,1,2023,1
2023-01-01,강남동,90세 ~ 99세,122,28,94,51261,6196,0.1208716177991065,0.0,0.0,0.0,0.0,1,2023,1
2023-01-01,강남동,0,25635,12484,13151,51261,6196,0.1208716177991065,0.0,0.0,0.0,0.0,0,2023,1
2023-01-01,교동,0세 ~ 9세,95,55,40,7094,1120,0.1578798985057795,0.0,3.0,0.0,0.2678571428571428,0,2023,1
2023-01-01,교동,10세 ~ 19세,150,79,71,7094,1120,0.1578798985057795,0.0,3.0,0.0,0.2678571428571428,0,2023,1
2023-01-01,교동,20세 ~ 29세,979,555,424,7094,1120,0.1578798985057795,0.0,3.0,0.0,0.2678571428571428,0,2023,1
